Energy,r,wavef,radwave
-0.579689,0.001,0.000001,0.001
-0.579689,0.004,0.000016,0.004
-0.579689,0.007,0.000048,0.006812
-0.579689,0.01,0.000095,0.009474
-0.579689,0.013,0.000156,0.011991
-0.579689,0.016,0.00023,0.014369
-0.579689,0.019,0.000316,0.016615
-0.579689,0.022,0.000412,0.018733
-0.579689,0.025,0.000518,0.020731
-0.579689,0.028,0.000633,0.022612
-0.579689,0.031,0.000756,0.024381
-0.579689,0.034,0.000886,0.026045
-0.579689,0.037,0.001021,0.027606
-0.579689,0.04,0.001163,0.029071
-0.579689,0.043,0.001309,0.030442
-0.579689,0.046,0.001459,0.031724
-0.579689,0.049,0.001613,0.032921
-0.579689,0.052,0.00177,0.034036
-0.579689,0.055,0.001929,0.035073
-0.579689,0.058,0.00209,0.036036
-0.579689,0.061,0.002253,0.036928
-0.579689,0.064,0.002416,0.037751
-0.579689,0.067,0.00258,0.03851
-0.579689,0.07,0.002744,0.039206
-0.579689,0.073,0.002909,0.039842
-0.579689,0.076,0.003072,0.040422
-0.579689,0.079,0.003235,0.040948
-0.579689,0.082,0.003397,0.041421
-0.579689,0.085,0.003557,0.041845
-0.579689,0.088,0.003716,0.042222
-0.579689,0.091,0.003872,0.042553
-0.579689,0.094,0.004027,0.042841
-0.579689,0.097,0.00418,0.043088
-0.579689,0.1,0.00433,0.043296
-0.579689,0.103,0.004477,0.043466
-0.579689,0.106,0.004622,0.043601
-0.579689,0.109,0.004763,0.043701
-0.579689,0.112,0.004902,0.043769
-0.579689,0.115,0.005038,0.043805
-0.579689,0.118,0.00517,0.043813
-0.579689,0.121,0.005299,0.043792
-0.579689,0.124,0.005424,0.043744
-0.579689,0.127,0.005546,0.043671
-0.579689,0.13,0.005665,0.043574
-0.579689,0.133,0.005779,0.043454
-0.579689,0.136,0.00589,0.043311
-0.579689,0.139,0.005998,0.043148
-0.579689,0.142,0.006101,0.042966
-0.579689,0.145,0.006201,0.042764
-0.579689,0.148,0.006297,0.042545
-0.579689,0.151,0.006389,0.042309
-0.579689,0.154,0.006477,0.042057
-0.579689,0.157,0.006561,0.04179
-0.579689,0.16,0.006641,0.041508
-0.579689,0.163,0.006718,0.041213
-0.579689,0.166,0.00679,0.040906
-0.579689,0.169,0.006859,0.040586
-0.579689,0.172,0.006924,0.040255
-0.579689,0.175,0.006985,0.039913
-0.579689,0.178,0.007042,0.039561
-0.579689,0.181,0.007095,0.0392
-0.579689,0.184,0.007145,0.03883
-0.579689,0.187,0.007191,0.038452
-0.579689,0.19,0.007233,0.038066
-0.579689,0.193,0.007271,0.037673
-0.579689,0.196,0.007306,0.037273
-0.579689,0.199,0.007337,0.036867
-0.579689,0.202,0.007364,0.036455
-0.579689,0.205,0.007388,0.036038
-0.579689,0.208,0.007408,0.035616
-0.579689,0.211,0.007425,0.035189
-0.579689,0.214,0.007438,0.034758
-0.579689,0.217,0.007448,0.034324
-0.579689,0.22,0.007455,0.033886
-0.579689,0.223,0.007458,0.033445
-0.579689,0.226,0.007458,0.033001
-0.579689,0.229,0.007455,0.032555
-0.579689,0.232,0.007449,0.032106
-0.579689,0.235,0.007439,0.031656
-0.579689,0.238,0.007427,0.031204
-0.579689,0.241,0.007411,0.030751
-0.579689,0.244,0.007392,0.030296
-0.579689,0.247,0.007371,0.029841
-0.579689,0.25,0.007346,0.029385
-0.579689,0.253,0.007319,0.028929
-0.579689,0.256,0.007289,0.028473
-0.579689,0.259,0.007256,0.028016
-0.579689,0.262,0.007221,0.02756
-0.579689,0.265,0.007183,0.027104
-0.579689,0.268,0.007142,0.026649
-0.579689,0.271,0.007099,0.026194
-0.579689,0.274,0.007053,0.02574
-0.579689,0.277,0.007005,0.025288
-0.579689,0.28,0.006954,0.024836
-0.579689,0.283,0.006901,0.024386
-0.579689,0.286,0.006846,0.023937
-0.579689,0.289,0.006788,0.023489
-0.579689,0.292,0.006729,0.023044
-0.579689,0.295,0.006667,0.0226
-0.579689,0.298,0.006603,0.022158
-0.579689,0.301,0.006537,0.021718
-0.579689,0.304,0.006469,0.02128
-0.579689,0.307,0.006399,0.020844
-0.579689,0.31,0.006327,0.02041
-0.579689,0.313,0.006253,0.019979
-0.579689,0.316,0.006178,0.01955
-0.579689,0.319,0.0061,0.019124
-0.579689,0.322,0.006021,0.0187
-0.579689,0.325,0.005941,0.018279
-0.579689,0.328,0.005858,0.01786
-0.579689,0.331,0.005774,0.017444
-0.579689,0.334,0.005688,0.017031
-0.579689,0.337,0.005601,0.016621
-0.579689,0.34,0.005513,0.016214
-0.579689,0.343,0.005423,0.01581
-0.579689,0.346,0.005331,0.015408
-0.579689,0.349,0.005238,0.01501
-0.579689,0.352,0.005144,0.014615
-0.579689,0.355,0.005049,0.014222
-0.579689,0.358,0.004952,0.013833
-0.579689,0.361,0.004854,0.013447
-0.579689,0.364,0.004755,0.013064
-0.579689,0.367,0.004655,0.012685
-0.579689,0.37,0.004554,0.012308
-0.579689,0.373,0.004452,0.011935
-0.579689,0.376,0.004348,0.011565
-0.579689,0.379,0.004244,0.011198
-0.579689,0.382,0.004139,0.010835
-0.579689,0.385,0.004033,0.010475
-0.579689,0.388,0.003926,0.010118
-0.579689,0.391,0.003818,0.009764
-0.579689,0.394,0.003709,0.009414
-0.579689,0.397,0.0036,0.009067
-0.579689,0.4,0.00349,0.008724
-0.579689,0.403,0.003379,0.008384
-0.579689,0.406,0.003267,0.008047
-0.579689,0.409,0.003155,0.007713
-0.579689,0.412,0.003042,0.007383
-0.579689,0.415,0.002928,0.007056
-0.579689,0.418,0.002814,0.006732
-0.579689,0.421,0.002699,0.006412
-0.579689,0.424,0.002584,0.006095
-0.579689,0.427,0.002469,0.005781
-0.579689,0.43,0.002353,0.005471
-0.579689,0.433,0.002236,0.005164
-0.579689,0.436,0.002119,0.00486
-0.579689,0.439,0.002002,0.00456
-0.579689,0.442,0.001884,0.004262
-0.579689,0.445,0.001766,0.003968
-0.579689,0.448,0.001648,0.003678
-0.579689,0.451,0.001529,0.00339
-0.579689,0.454,0.00141,0.003106
-0.579689,0.457,0.001291,0.002825
-0.579689,0.46,0.001172,0.002547
-0.579689,0.463,0.001052,0.002272
-0.579689,0.466,0.000932,0.002001
-0.579689,0.469,0.000813,0.001732
-0.579689,0.472,0.000693,0.001467
-0.579689,0.475,0.000572,0.001205
-0.579689,0.478,0.000452,0.000946
-0.579689,0.481,0.000332,0.00069
-0.579689,0.484,0.000212,0.000437
-0.579689,0.487,0.000091,0.000187
-0.579689,0.49,-0.000029,-0.000059
-0.579689,0.493,-0.000149,-0.000303
-0.579689,0.496,-0.00027,-0.000544
-0.579689,0.499,-0.00039,-0.000782
-0.579689,0.502,-0.00051,-0.001017
-0.579689,0.505,-0.00063,-0.001248
-0.579689,0.508,-0.000751,-0.001477
-0.579689,0.511,-0.000871,-0.001704
-0.579689,0.514,-0.00099,-0.001927
-0.579689,0.517,-0.00111,-0.002147
-0.579689,0.52,-0.00123,-0.002365
-0.579689,0.523,-0.001349,-0.002579
-0.579689,0.526,-0.001468,-0.002791
-0.579689,0.529,-0.001587,-0.003
-0.579689,0.532,-0.001706,-0.003207
-0.579689,0.535,-0.001825,-0.003411
-0.579689,0.538,-0.001943,-0.003611
-0.579689,0.541,-0.002061,-0.00381
-0.579689,0.544,-0.002179,-0.004005
-0.579689,0.547,-0.002296,-0.004198
-0.579689,0.55,-0.002414,-0.004389
-0.579689,0.553,-0.002531,-0.004576
-0.579689,0.556,-0.002647,-0.004762
-0.579689,0.559,-0.002764,-0.004944
-0.579689,0.562,-0.00288,-0.005124
-0.579689,0.565,-0.002995,-0.005302
-0.579689,0.568,-0.003111,-0.005477
-0.579689,0.571,-0.003226,-0.005649
-0.579689,0.574,-0.00334,-0.005819
-0.579689,0.577,-0.003455,-0.005987
-0.579689,0.58,-0.003568,-0.006152
-0.579689,0.583,-0.003682,-0.006315
-0.579689,0.586,-0.003795,-0.006476
-0.579689,0.589,-0.003907,-0.006634
-0.579689,0.592,-0.00402,-0.00679
-0.579689,0.595,-0.004131,-0.006943
-0.579689,0.598,-0.004243,-0.007095
-0.579689,0.601,-0.004353,-0.007244
-0.579689,0.604,-0.004464,-0.00739
-0.579689,0.607,-0.004574,-0.007535
-0.579689,0.61,-0.004683,-0.007677
-0.579689,0.613,-0.004792,-0.007817
-0.579689,0.616,-0.004901,-0.007955
-0.579689,0.619,-0.005008,-0.008091
-0.579689,0.622,-0.005116,-0.008225
-0.579689,0.625,-0.005223,-0.008357
-0.579689,0.628,-0.005329,-0.008486
-0.579689,0.631,-0.005435,-0.008614
-0.579689,0.634,-0.005541,-0.008739
-0.579689,0.637,-0.005646,-0.008863
-0.579689,0.64,-0.00575,-0.008984
-0.579689,0.643,-0.005854,-0.009104
-0.579689,0.646,-0.005957,-0.009222
-0.579689,0.649,-0.00606,-0.009337
-0.579689,0.652,-0.006162,-0.009451
-0.579689,0.655,-0.006264,-0.009563
-0.579689,0.658,-0.006365,-0.009673
-0.579689,0.661,-0.006465,-0.009781
-0.579689,0.664,-0.006565,-0.009887
-0.579689,0.667,-0.006665,-0.009992
-0.579689,0.67,-0.006763,-0.010095
-0.579689,0.673,-0.006862,-0.010195
-0.579689,0.676,-0.006959,-0.010295
-0.579689,0.679,-0.007056,-0.010392
-0.579689,0.682,-0.007153,-0.010488
-0.579689,0.685,-0.007249,-0.010582
-0.579689,0.688,-0.007344,-0.010674
-0.579689,0.691,-0.007438,-0.010765
-0.579689,0.694,-0.007533,-0.010854
-0.579689,0.697,-0.007626,-0.010941
-0.579689,0.7,-0.007719,-0.011027
-0.579689,0.703,-0.007811,-0.011111
-0.579689,0.706,-0.007903,-0.011194
-0.579689,0.709,-0.007994,-0.011275
-0.579689,0.712,-0.008084,-0.011354
-0.579689,0.715,-0.008174,-0.011432
-0.579689,0.718,-0.008263,-0.011509
-0.579689,0.721,-0.008352,-0.011584
-0.579689,0.724,-0.00844,-0.011657
-0.579689,0.727,-0.008527,-0.011729
-0.579689,0.73,-0.008614,-0.0118
-0.579689,0.733,-0.0087,-0.011869
-0.579689,0.736,-0.008785,-0.011937
-0.579689,0.739,-0.00887,-0.012003
-0.579689,0.742,-0.008955,-0.012068
-0.579689,0.745,-0.009038,-0.012132
-0.579689,0.748,-0.009121,-0.012194
-0.579689,0.751,-0.009203,-0.012255
-0.579689,0.754,-0.009285,-0.012315
-0.579689,0.757,-0.009366,-0.012373
