r,radwave
0.001,0.001
0.004,0.004
0.007,0.006812
0.01,0.009474
0.013,0.011991
0.016,0.014369
0.019,0.016615
0.022,0.018733
0.025,0.020731
0.028,0.022612
0.031,0.024381
0.034,0.026045
0.037,0.027606
0.04,0.029071
0.043,0.030442
0.046,0.031724
0.049,0.032921
0.052,0.034036
0.055,0.035073
0.058,0.036036
0.061,0.036928
0.064,0.037751
0.067,0.03851
0.07,0.039206
0.073,0.039842
0.076,0.040422
0.079,0.040948
0.082,0.041421
0.085,0.041845
0.088,0.042222
0.091,0.042553
0.094,0.042841
0.097,0.043088
0.1,0.043296
0.103,0.043466
0.106,0.043601
0.109,0.043701
0.112,0.043769
0.115,0.043805
0.118,0.043813
0.121,0.043792
0.124,0.043744
0.127,0.043671
0.13,0.043574
0.133,0.043454
0.136,0.043311
0.139,0.043148
0.142,0.042966
0.145,0.042764
0.148,0.042545
0.151,0.042309
0.154,0.042057
0.157,0.04179
0.16,0.041508
0.163,0.041213
0.166,0.040906
0.169,0.040586
0.172,0.040255
0.175,0.039913
0.178,0.039561
0.181,0.0392
0.184,0.03883
0.187,0.038452
0.19,0.038066
0.193,0.037673
0.196,0.037273
0.199,0.036867
0.202,0.036455
0.205,0.036038
0.208,0.035616
0.211,0.035189
0.214,0.034758
0.217,0.034324
0.22,0.033886
0.223,0.033445
0.226,0.033001
0.229,0.032555
0.232,0.032106
0.235,0.031656
0.238,0.031204
0.241,0.030751
0.244,0.030296
0.247,0.029841
0.25,0.029385
0.253,0.028929
0.256,0.028473
0.259,0.028016
0.262,0.02756
0.265,0.027104
0.268,0.026649
0.271,0.026194
0.274,0.02574
0.277,0.025288
0.28,0.024836
0.283,0.024386
0.286,0.023937
0.289,0.023489
0.292,0.023044
0.295,0.0226
0.298,0.022158
0.301,0.021718
0.304,0.02128
0.307,0.020844
0.31,0.02041
0.313,0.019979
0.316,0.01955
0.319,0.019124
0.322,0.0187
0.325,0.018279
0.328,0.01786
0.331,0.017444
0.334,0.017031
0.337,0.016621
0.34,0.016214
0.343,0.01581
0.346,0.015408
0.349,0.01501
0.352,0.014615
0.355,0.014222
0.358,0.013833
0.361,0.013447
0.364,0.013064
0.367,0.012685
0.37,0.012308
0.373,0.011935
0.376,0.011565
0.379,0.011198
0.382,0.010835
0.385,0.010475
0.388,0.010118
0.391,0.009764
0.394,0.009414
0.397,0.009067
0.4,0.008724
0.403,0.008384
0.406,0.008047
0.409,0.007713
0.412,0.007383
0.415,0.007056
0.418,0.006732
0.421,0.006412
0.424,0.006095
0.427,0.005781
0.43,0.005471
0.433,0.005164
0.436,0.00486
0.439,0.00456
0.442,0.004262
0.445,0.003968
0.448,0.003678
0.451,0.00339
0.454,0.003106
0.457,0.002825
0.46,0.002547
0.463,0.002272
0.466,0.002001
0.469,0.001732
0.472,0.001467
0.475,0.001205
0.478,0.000946
0.481,0.00069
0.484,0.000437
0.487,0.000187
0.49,-5.9e-05
0.493,-0.000303
0.496,-0.000544
0.499,-0.000782
0.502,-0.001017
0.505,-0.001248
0.508,-0.001477
0.511,-0.001704
0.514,-0.001927
0.517,-0.002147
0.52,-0.002365
0.523,-0.002579
0.526,-0.002791
0.529,-0.003
0.532,-0.003207
0.535,-0.003411
0.538,-0.003611
0.541,-0.00381
0.544,-0.004005
0.547,-0.004198
0.55,-0.004389
0.553,-0.004576
0.556,-0.004762
0.559,-0.004944
0.562,-0.005124
0.565,-0.005302
0.568,-0.005477
0.571,-0.005649
0.574,-0.005819
0.577,-0.005987
0.58,-0.006152
0.583,-0.006315
0.586,-0.006476
0.589,-0.006634
0.592,-0.00679
0.595,-0.006943
0.598,-0.007095
0.601,-0.007244
0.604,-0.00739
0.607,-0.007535
0.61,-0.007677
0.613,-0.007817
0.616,-0.007955
0.619,-0.008091
0.622,-0.008225
0.625,-0.008357
0.628,-0.008486
0.631,-0.008614
0.634,-0.008739
0.637,-0.008863
0.64,-0.008984
0.643,-0.009104
0.646,-0.009222
0.649,-0.009337
0.652,-0.009451
0.655,-0.009563
0.658,-0.009673
0.661,-0.009781
0.664,-0.009887
0.667,-0.009992
0.67,-0.010095
0.673,-0.010195
0.676,-0.010295
0.679,-0.010392
0.682,-0.010488
0.685,-0.010582
0.688,-0.010674
0.691,-0.010765
0.694,-0.010854
0.697,-0.010941
0.7,-0.011027
0.703,-0.011111
0.706,-0.011194
0.709,-0.011275
0.712,-0.011354
0.715,-0.011432
0.718,-0.011509
0.721,-0.011584
0.724,-0.011657
0.727,-0.011729
0.73,-0.0118
0.733,-0.011869
0.736,-0.011937
0.739,-0.012003
0.742,-0.012068
0.745,-0.012132
0.748,-0.012194
0.751,-0.012255
0.754,-0.012315
0.757,-0.012373
0.76,-0.01243
0.763,-0.012486
0.766,-0.01254
0.769,-0.012594
0.772,-0.012646
0.775,-0.012697
0.778,-0.012746
0.781,-0.012795
0.784,-0.012842
0.787,-0.012888
0.79,-0.012933
0.793,-0.012977
0.796,-0.01302
0.799,-0.013062
0.802,-0.013102
0.805,-0.013142
0.808,-0.01318
0.811,-0.013218
0.814,-0.013254
0.817,-0.01329
0.82,-0.013324
0.823,-0.013357
0.826,-0.01339
0.829,-0.013421
0.832,-0.013452
0.835,-0.013481
0.838,-0.01351
0.841,-0.013537
0.844,-0.013564
0.847,-0.01359
0.85,-0.013615
0.853,-0.013639
0.856,-0.013662
0.859,-0.013685
0.862,-0.013706
0.865,-0.013727
0.868,-0.013747
0.871,-0.013766
0.874,-0.013784
0.877,-0.013802
0.88,-0.013818
0.883,-0.013834
0.886,-0.013849
0.889,-0.013864
0.892,-0.013878
0.895,-0.01389
0.898,-0.013903
0.901,-0.013914
0.904,-0.013925
0.907,-0.013935
0.91,-0.013945
0.913,-0.013953
0.916,-0.013962
0.919,-0.013969
0.922,-0.013976
0.925,-0.013982
0.928,-0.013988
0.931,-0.013992
0.934,-0.013997
0.937,-0.014001
0.94,-0.014004
0.943,-0.014006
0.946,-0.014008
0.949,-0.01401
0.952,-0.01401
0.955,-0.014011
0.958,-0.01401
0.961,-0.01401
0.964,-0.014008
0.967,-0.014006
0.97,-0.014004
0.973,-0.014001
0.976,-0.013998
0.979,-0.013994
0.982,-0.01399
0.985,-0.013985
0.988,-0.013979
0.991,-0.013974
0.994,-0.013967
0.997,-0.013961
1.0,-0.013954
1.003,-0.013946
1.006,-0.013938
1.009,-0.01393
1.012,-0.013921
1.015,-0.013912
1.018,-0.013902
1.021,-0.013892
1.024,-0.013882
1.027,-0.013871
1.03,-0.013859
1.033,-0.013848
1.036,-0.013836
1.039,-0.013824
1.042,-0.013811
1.045,-0.013798
1.048,-0.013785
1.051,-0.013771
1.054,-0.013757
1.057,-0.013742
1.06,-0.013728
1.063,-0.013713
1.066,-0.013697
